$CL|META|providers=cloud|sources=|records=1053
$CL|REC|t=1770000000000|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1770000000100|msg=[2026-06-05 01:01:00,100] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/orders-2026-06-04.csv  ->  /tmp/orders-2026-06-04.csv
$CL|REC|t=1770000000300|msg=[2026-06-05 01:01:00,300] INFO: 校验 CSV 表头 expected=12 actual=12 status=ok
$CL|REC|t=1770000000500|msg=[2026-06-05 01:01:00,500] INFO: 推断 schema: [order_id:str, customer_id:str, sku:str, qty:int, unit_price:decimal, currency:str, region:str, channel:str, status:str, created_at:ts, updated_at:ts, notes:str]
$CL|REC|t=1770000000600|msg=[2026-06-05 01:01:00,600] INFO: 启动批处理进程：python etl_worker.py --input /tmp/orders-2026-06-04.csv --output-prefix s3://sample-batch-processor/parquet/orders/2026-06-05/ --target-format parquet --compression snappy --partition-by region --target-file-size 134217728 --max-concurrency 8 --batch-size 5000 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite --manifest /tmp/orders-2026-06-04.csv.manifest.json
$CL|REC|t=1770000000800|msg=[2026-06-05 01:01:00,800] INFO: [worker stdout] [2026-06-05 01:01:00,800] INFO: 共加载 1024 个 batch，shards: ['shard-0', 'shard-1', 'shard-2', 'shard-3']
$CL|REC|t=1770000010000|msg=[2026-06-05 01:01:20,000] INFO: [worker stdout] [2026-06-05 01:01:20,000] INFO: [进度] 1/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020000|msg=[2026-06-05 01:01:20,10000] INFO: [worker stdout] [2026-06-05 01:01:20,10000] INFO: [进度] 51/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020050|msg=[2026-06-05 01:01:21,9050] INFO: [worker stdout] [2026-06-05 01:01:21,9050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00050.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000020200|msg=[2026-06-05 01:01:20,10200] INFO: [worker stdout] [2026-06-05 01:01:20,10200] INFO: [进度] 52/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020250|msg=[2026-06-05 01:01:21,9250] INFO: [worker stdout] [2026-06-05 01:01:21,9250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00051.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000020400|msg=[2026-06-05 01:01:20,10400] INFO: [worker stdout] [2026-06-05 01:01:20,10400] INFO: [进度] 53/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020450|msg=[2026-06-05 01:01:21,9450] INFO: [worker stdout] [2026-06-05 01:01:21,9450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00052.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000020600|msg=[2026-06-05 01:01:20,10600] INFO: [worker stdout] [2026-06-05 01:01:20,10600] INFO: [进度] 54/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020650|msg=[2026-06-05 01:01:21,9650] INFO: [worker stdout] [2026-06-05 01:01:21,9650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00053.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000020800|msg=[2026-06-05 01:01:20,10800] INFO: [worker stdout] [2026-06-05 01:01:20,10800] INFO: [进度] 55/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000020850|msg=[2026-06-05 01:01:21,9850] INFO: [worker stdout] [2026-06-05 01:01:21,9850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00054.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000021000|msg=[2026-06-05 01:01:20,11000] INFO: [worker stdout] [2026-06-05 01:01:20,11000] INFO: [进度] 56/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000021050|msg=[2026-06-05 01:01:21,10050] INFO: [worker stdout] [2026-06-05 01:01:21,10050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00055.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000021200|msg=[2026-06-05 01:01:20,11200] INFO: [worker stdout] [2026-06-05 01:01:20,11200] INFO: [进度] 57/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000021250|msg=[2026-06-05 01:01:21,10250] INFO: [worker stdout] [2026-06-05 01:01:21,10250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00056.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000021400|msg=[2026-06-05 01:01:20,11400] INFO: [worker stdout] [2026-06-05 01:01:20,11400] INFO: [进度] 58/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000021450|msg=[2026-06-05 01:01:21,10450] INFO: [worker stdout] [2026-06-05 01:01:21,10450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00057.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000021600|msg=[2026-06-05 01:01:20,11600] INFO: [worker stdout] [2026-06-05 01:01:20,11600] INFO: [进度] 59/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000021650|msg=[2026-06-05 01:01:21,10650] INFO: [worker stdout] [2026-06-05 01:01:21,10650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00058.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000021800|msg=[2026-06-05 01:01:20,11800] INFO: [worker stdout] [2026-06-05 01:01:20,11800] INFO: [进度] 60/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000021850|msg=[2026-06-05 01:01:21,10850] INFO: [worker stdout] [2026-06-05 01:01:21,10850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00059.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000022000|msg=[2026-06-05 01:01:20,12000] INFO: [worker stdout] [2026-06-05 01:01:20,12000] INFO: [进度] 61/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000022050|msg=[2026-06-05 01:01:21,11050] INFO: [worker stdout] [2026-06-05 01:01:21,11050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00060.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000022200|msg=[2026-06-05 01:01:20,12200] INFO: [worker stdout] [2026-06-05 01:01:20,12200] INFO: [进度] 62/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000022250|msg=[2026-06-05 01:01:21,11250] INFO: [worker stdout] [2026-06-05 01:01:21,11250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00061.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000022400|msg=[2026-06-05 01:01:20,12400] INFO: [worker stdout] [2026-06-05 01:01:20,12400] INFO: [进度] 63/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000022450|msg=[2026-06-05 01:01:21,11450] INFO: [worker stdout] [2026-06-05 01:01:21,11450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00062.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000022600|msg=[2026-06-05 01:01:20,12600] INFO: [worker stdout] [2026-06-05 01:01:20,12600] INFO: [进度] 64/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000022650|msg=[2026-06-05 01:01:21,11650] INFO: [worker stdout] [2026-06-05 01:01:21,11650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00063.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000070000|msg=[2026-06-05 01:01:22,000] INFO: [worker stdout] [2026-06-05 01:01:22,000] INFO: [进度] 257/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000070050|msg=[2026-06-05 01:01:22,050] INFO: [worker stdout] [2026-06-05 01:01:22,050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00000.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000070200|msg=[2026-06-05 01:01:22,200] INFO: [worker stdout] [2026-06-05 01:01:22,200] INFO: [进度] 258/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000070250|msg=[2026-06-05 01:01:22,250] INFO: [worker stdout] [2026-06-05 01:01:22,250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00001.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000070400|msg=[2026-06-05 01:01:22,400] INFO: [worker stdout] [2026-06-05 01:01:22,400] INFO: [进度] 259/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000070450|msg=[2026-06-05 01:01:22,450] INFO: [worker stdout] [2026-06-05 01:01:22,450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00002.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000070600|msg=[2026-06-05 01:01:22,600] INFO: [worker stdout] [2026-06-05 01:01:22,600] INFO: [进度] 260/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000070650|msg=[2026-06-05 01:01:22,650] INFO: [worker stdout] [2026-06-05 01:01:22,650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00003.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000070800|msg=[2026-06-05 01:01:22,800] INFO: [worker stdout] [2026-06-05 01:01:22,800] INFO: [进度] 261/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000070850|msg=[2026-06-05 01:01:22,850] INFO: [worker stdout] [2026-06-05 01:01:22,850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00004.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000071000|msg=[2026-06-05 01:01:22,1000] INFO: [worker stdout] [2026-06-05 01:01:22,1000] INFO: [进度] 262/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000071050|msg=[2026-06-05 01:01:23,050] INFO: [worker stdout] [2026-06-05 01:01:23,050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00005.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000071200|msg=[2026-06-05 01:01:22,1200] INFO: [worker stdout] [2026-06-05 01:01:22,1200] INFO: [进度] 263/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000071250|msg=[2026-06-05 01:01:23,250] INFO: [worker stdout] [2026-06-05 01:01:23,250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00006.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000071400|msg=[2026-06-05 01:01:22,1400] INFO: [worker stdout] [2026-06-05 01:01:22,1400] INFO: [进度] 264/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000071450|msg=[2026-06-05 01:01:23,450] INFO: [worker stdout] [2026-06-05 01:01:23,450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00007.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000071600|msg=[2026-06-05 01:01:22,1600] INFO: [worker stdout] [2026-06-05 01:01:22,1600] INFO: [进度] 265/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000071650|msg=[2026-06-05 01:01:23,650] INFO: [worker stdout] [2026-06-05 01:01:23,650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00008.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000071800|msg=[2026-06-05 01:01:22,1800] INFO: [worker stdout] [2026-06-05 01:01:22,1800] INFO: [进度] 266/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000071850|msg=[2026-06-05 01:01:23,850] INFO: [worker stdout] [2026-06-05 01:01:23,850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00009.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000072000|msg=[2026-06-05 01:01:22,2000] INFO: [worker stdout] [2026-06-05 01:01:22,2000] INFO: [进度] 267/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000072050|msg=[2026-06-05 01:01:23,1050] INFO: [worker stdout] [2026-06-05 01:01:23,1050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00010.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000072200|msg=[2026-06-05 01:01:22,2200] INFO: [worker stdout] [2026-06-05 01:01:22,2200] INFO: [进度] 268/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000072250|msg=[2026-06-05 01:01:23,1250] INFO: [worker stdout] [2026-06-05 01:01:23,1250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00011.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000072400|msg=[2026-06-05 01:01:22,2400] INFO: [worker stdout] [2026-06-05 01:01:22,2400] INFO: [进度] 269/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000072450|msg=[2026-06-05 01:01:23,1450] INFO: [worker stdout] [2026-06-05 01:01:23,1450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00012.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000072600|msg=[2026-06-05 01:01:22,2600] INFO: [worker stdout] [2026-06-05 01:01:22,2600] INFO: [进度] 270/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000072650|msg=[2026-06-05 01:01:23,1650] INFO: [worker stdout] [2026-06-05 01:01:23,1650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00013.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000072800|msg=[2026-06-05 01:01:22,2800] INFO: [worker stdout] [2026-06-05 01:01:22,2800] INFO: [进度] 271/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000072850|msg=[2026-06-05 01:01:23,1850] INFO: [worker stdout] [2026-06-05 01:01:23,1850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00014.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000073000|msg=[2026-06-05 01:01:22,3000] INFO: [worker stdout] [2026-06-05 01:01:22,3000] INFO: [进度] 272/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000073050|msg=[2026-06-05 01:01:23,2050] INFO: [worker stdout] [2026-06-05 01:01:23,2050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00015.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000073200|msg=[2026-06-05 01:01:22,3200] INFO: [worker stdout] [2026-06-05 01:01:22,3200] INFO: [进度] 273/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000073250|msg=[2026-06-05 01:01:23,2250] INFO: [worker stdout] [2026-06-05 01:01:23,2250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00016.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000073400|msg=[2026-06-05 01:01:22,3400] INFO: [worker stdout] [2026-06-05 01:01:22,3400] INFO: [进度] 274/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000073450|msg=[2026-06-05 01:01:23,2450] INFO: [worker stdout] [2026-06-05 01:01:23,2450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00017.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000073600|msg=[2026-06-05 01:01:22,3600] INFO: [worker stdout] [2026-06-05 01:01:22,3600] INFO: [进度] 275/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000073650|msg=[2026-06-05 01:01:23,2650] INFO: [worker stdout] [2026-06-05 01:01:23,2650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00018.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000073800|msg=[2026-06-05 01:01:22,3800] INFO: [worker stdout] [2026-06-05 01:01:22,3800] INFO: [进度] 276/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000073850|msg=[2026-06-05 01:01:23,2850] INFO: [worker stdout] [2026-06-05 01:01:23,2850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00019.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000074000|msg=[2026-06-05 01:01:22,4000] INFO: [worker stdout] [2026-06-05 01:01:22,4000] INFO: [进度] 277/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000074050|msg=[2026-06-05 01:01:23,3050] INFO: [worker stdout] [2026-06-05 01:01:23,3050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00020.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000074200|msg=[2026-06-05 01:01:22,4200] INFO: [worker stdout] [2026-06-05 01:01:22,4200] INFO: [进度] 278/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000074250|msg=[2026-06-05 01:01:23,3250] INFO: [worker stdout] [2026-06-05 01:01:23,3250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00021.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000074400|msg=[2026-06-05 01:01:22,4400] INFO: [worker stdout] [2026-06-05 01:01:22,4400] INFO: [进度] 279/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000074450|msg=[2026-06-05 01:01:23,3450] INFO: [worker stdout] [2026-06-05 01:01:23,3450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00022.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000074600|msg=[2026-06-05 01:01:22,4600] INFO: [worker stdout] [2026-06-05 01:01:22,4600] INFO: [进度] 280/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000074650|msg=[2026-06-05 01:01:23,3650] INFO: [worker stdout] [2026-06-05 01:01:23,3650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00023.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000074800|msg=[2026-06-05 01:01:22,4800] INFO: [worker stdout] [2026-06-05 01:01:22,4800] INFO: [进度] 281/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000074850|msg=[2026-06-05 01:01:23,3850] INFO: [worker stdout] [2026-06-05 01:01:23,3850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00024.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000075000|msg=[2026-06-05 01:01:22,5000] INFO: [worker stdout] [2026-06-05 01:01:22,5000] INFO: [进度] 282/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000075050|msg=[2026-06-05 01:01:23,4050] INFO: [worker stdout] [2026-06-05 01:01:23,4050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00025.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000075200|msg=[2026-06-05 01:01:22,5200] INFO: [worker stdout] [2026-06-05 01:01:22,5200] INFO: [进度] 283/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000075250|msg=[2026-06-05 01:01:23,4250] INFO: [worker stdout] [2026-06-05 01:01:23,4250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00026.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000075400|msg=[2026-06-05 01:01:22,5400] INFO: [worker stdout] [2026-06-05 01:01:22,5400] INFO: [进度] 284/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000075450|msg=[2026-06-05 01:01:23,4450] INFO: [worker stdout] [2026-06-05 01:01:23,4450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00027.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000075600|msg=[2026-06-05 01:01:22,5600] INFO: [worker stdout] [2026-06-05 01:01:22,5600] INFO: [进度] 285/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000075650|msg=[2026-06-05 01:01:23,4650] INFO: [worker stdout] [2026-06-05 01:01:23,4650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00028.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000075800|msg=[2026-06-05 01:01:22,5800] INFO: [worker stdout] [2026-06-05 01:01:22,5800] INFO: [进度] 286/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000075850|msg=[2026-06-05 01:01:23,4850] INFO: [worker stdout] [2026-06-05 01:01:23,4850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00029.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000076000|msg=[2026-06-05 01:01:22,6000] INFO: [worker stdout] [2026-06-05 01:01:22,6000] INFO: [进度] 287/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000076050|msg=[2026-06-05 01:01:23,5050] INFO: [worker stdout] [2026-06-05 01:01:23,5050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00030.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000076100|msg=[2026-06-05 01:01:23,5100] INFO: [worker stdout] [2026-06-05 01:01:23,5100] INFO: WARN | shard=shard-1 | batch=30 | reason=schema_coerce | detail=unit_price rounded to 2 decimals for 12 rows
$CL|REC|t=1770000076200|msg=[2026-06-05 01:01:22,6200] INFO: [worker stdout] [2026-06-05 01:01:22,6200] INFO: [进度] 288/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000076250|msg=[2026-06-05 01:01:23,5250] INFO: [worker stdout] [2026-06-05 01:01:23,5250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00031.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000076400|msg=[2026-06-05 01:01:22,6400] INFO: [worker stdout] [2026-06-05 01:01:22,6400] INFO: [进度] 289/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000076450|msg=[2026-06-05 01:01:23,5450] INFO: [worker stdout] [2026-06-05 01:01:23,5450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00032.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000076600|msg=[2026-06-05 01:01:22,6600] INFO: [worker stdout] [2026-06-05 01:01:22,6600] INFO: [进度] 290/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000076650|msg=[2026-06-05 01:01:23,5650] INFO: [worker stdout] [2026-06-05 01:01:23,5650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00033.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000076800|msg=[2026-06-05 01:01:22,6800] INFO: [worker stdout] [2026-06-05 01:01:22,6800] INFO: [进度] 291/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000076850|msg=[2026-06-05 01:01:23,5850] INFO: [worker stdout] [2026-06-05 01:01:23,5850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00034.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000077000|msg=[2026-06-05 01:01:22,7000] INFO: [worker stdout] [2026-06-05 01:01:22,7000] INFO: [进度] 292/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000077050|msg=[2026-06-05 01:01:23,6050] INFO: [worker stdout] [2026-06-05 01:01:23,6050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00035.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000077200|msg=[2026-06-05 01:01:22,7200] INFO: [worker stdout] [2026-06-05 01:01:22,7200] INFO: [进度] 293/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000077250|msg=[2026-06-05 01:01:23,6250] INFO: [worker stdout] [2026-06-05 01:01:23,6250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00036.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000077400|msg=[2026-06-05 01:01:22,7400] INFO: [worker stdout] [2026-06-05 01:01:22,7400] INFO: [进度] 294/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000077450|msg=[2026-06-05 01:01:23,6450] INFO: [worker stdout] [2026-06-05 01:01:23,6450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00037.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000077600|msg=[2026-06-05 01:01:22,7600] INFO: [worker stdout] [2026-06-05 01:01:22,7600] INFO: [进度] 295/1024 | shard=shard-1 | partition=region=NA
