$CL|META|providers=cloud|sources=|records=697
$CL|REC|t=1780621264700|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1780621264710|msg=[2026-06-05 01:01:04,710] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
$CL|REC|t=1780621298530|msg=[2026-06-05 01:01:15,830] INFO: [worker stdout] [2026-06-05 01:01:15,830] INFO: 聚合中 | service=auth-svc | window=2026-06-04T09:00:00Z | count=2551 | p50_ms=139 | p99_ms=411 | err_rate=0.029
$CL|REC|t=1780621298650|msg=[2026-06-05 01:01:15,950] INFO: [worker stdout] [2026-06-05 01:01:15,950] INFO: 写入指标 | service=auth-svc | window=2026-06-04T09:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T09:00:00Z.json | engine=duckdb
$CL|REC|t=1780621298800|msg=[2026-06-05 01:01:16,100] INFO: [worker stdout] [2026-06-05 01:01:16,100] INFO: [进度] 35/112 | shard=shard-1 | service=billing-svc | window=2026-06-04T10:00:00Z/PT60S
$CL|REC|t=1780621298880|msg=[2026-06-05 01:01:16,180] INFO: [worker stdout] [2026-06-05 01:01:16,180] INFO: 聚合中 | service=billing-svc | window=2026-06-04T10:00:00Z | count=2598 | p50_ms=142 | p99_ms=418 | err_rate=0.042
$CL|REC|t=1780621299000|msg=[2026-06-05 01:01:16,300] INFO: [worker stdout] [2026-06-05 01:01:16,300] INFO: 写入指标 | service=billing-svc | window=2026-06-04T10:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T10:00:00Z.json | engine=duckdb
$CL|REC|t=1780621299150|msg=[2026-06-05 01:01:16,450] INFO: [worker stdout] [2026-06-05 01:01:16,450] INFO: [进度] 36/112 | shard=shard-1 | service=notif-svc | window=2026-06-04T11:00:00Z/PT60S
$CL|REC|t=1780621299230|msg=[2026-06-05 01:01:16,530] INFO: [worker stdout] [2026-06-05 01:01:16,530] INFO: 聚合中 | service=notif-svc | window=2026-06-04T11:00:00Z | count=2645 | p50_ms=145 | p99_ms=425 | err_rate=0.055
$CL|REC|t=1780621299350|msg=[2026-06-05 01:01:16,650] INFO: [worker stdout] [2026-06-05 01:01:16,650] INFO: 写入指标 | service=notif-svc | window=2026-06-04T11:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T11:00:00Z.json | engine=duckdb
$CL|REC|t=1780621299500|msg=[2026-06-05 01:01:16,800] INFO: [worker stdout] [2026-06-05 01:01:16,800] INFO: [进度] 37/112 | shard=shard-1 | service=ingest-svc | window=2026-06-04T12:00:00Z/PT60S
$CL|REC|t=1780621299580|msg=[2026-06-05 01:01:16,880] INFO: [worker stdout] [2026-06-05 01:01:16,880] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T12:00:00Z | count=2692 | p50_ms=148 | p99_ms=432 | err_rate=0.068
$CL|REC|t=1780621299700|msg=[2026-06-05 01:01:17,000] INFO: [worker stdout] [2026-06-05 01:01:17,000] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T12:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T12:00:00Z.json | engine=duckdb
$CL|REC|t=1780621299850|msg=[2026-06-05 01:01:17,150] INFO: [worker stdout] [2026-06-05 01:01:17,150] INFO: [进度] 38/112 | shard=shard-1 | service=report-svc | window=2026-06-04T13:00:00Z/PT60S
$CL|REC|t=1780621299930|msg=[2026-06-05 01:01:17,230] INFO: [worker stdout] [2026-06-05 01:01:17,230] INFO: 聚合中 | service=report-svc | window=2026-06-04T13:00:00Z | count=2739 | p50_ms=151 | p99_ms=439 | err_rate=0.081
$CL|REC|t=1780621300050|msg=[2026-06-05 01:01:17,350] INFO: [worker stdout] [2026-06-05 01:01:17,350] INFO: 写入指标 | service=report-svc | window=2026-06-04T13:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T13:00:00Z.json | engine=duckdb
$CL|REC|t=1780621300200|msg=[2026-06-05 01:01:17,500] INFO: [worker stdout] [2026-06-05 01:01:17,500] INFO: [进度] 39/112 | shard=shard-1 | service=search-svc | window=2026-06-04T14:00:00Z/PT60S
$CL|REC|t=1780621300280|msg=[2026-06-05 01:01:17,580] INFO: [worker stdout] [2026-06-05 01:01:17,580] INFO: 聚合中 | service=search-svc | window=2026-06-04T14:00:00Z | count=2786 | p50_ms=154 | p99_ms=446 | err_rate=0.094
$CL|REC|t=1780621300400|msg=[2026-06-05 01:01:17,700] INFO: [worker stdout] [2026-06-05 01:01:17,700] INFO: 写入指标 | service=search-svc | window=2026-06-04T14:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T14:00:00Z.json | engine=duckdb
$CL|REC|t=1780621300550|msg=[2026-06-05 01:01:17,850] INFO: [worker stdout] [2026-06-05 01:01:17,850] INFO: [进度] 40/112 | shard=shard-1 | service=media-svc | window=2026-06-04T15:00:00Z/PT60S
$CL|REC|t=1780621300630|msg=[2026-06-05 01:01:17,930] INFO: [worker stdout] [2026-06-05 01:01:17,930] INFO: 聚合中 | service=media-svc | window=2026-06-04T15:00:00Z | count=2833 | p50_ms=157 | p99_ms=453 | err_rate=0.007
$CL|REC|t=1780621300750|msg=[2026-06-05 01:01:18,050] INFO: [worker stdout] [2026-06-05 01:01:18,050] INFO: 写入指标 | service=media-svc | window=2026-06-04T15:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T15:00:00Z.json | engine=duckdb
$CL|REC|t=1780621300900|msg=[2026-06-05 01:01:18,200] INFO: [worker stdout] [2026-06-05 01:01:18,200] INFO: [进度] 41/112 | shard=shard-1 | service=api-gateway | window=2026-06-04T16:00:00Z/PT60S
$CL|REC|t=1780621300980|msg=[2026-06-05 01:01:18,280] INFO: [worker stdout] [2026-06-05 01:01:18,280] INFO: 聚合中 | service=api-gateway | window=2026-06-04T16:00:00Z | count=2880 | p50_ms=160 | p99_ms=460 | err_rate=0.020
$CL|REC|t=1780621301100|msg=[2026-06-05 01:01:18,400] INFO: [worker stdout] [2026-06-05 01:01:18,400] INFO: 写入指标 | service=api-gateway | window=2026-06-04T16:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T16:00:00Z.json | engine=duckdb
$CL|REC|t=1780621301250|msg=[2026-06-05 01:01:18,550] INFO: [worker stdout] [2026-06-05 01:01:18,550] INFO: [进度] 42/112 | shard=shard-1 | service=auth-svc | window=2026-06-04T17:00:00Z/PT60S
$CL|REC|t=1780621301330|msg=[2026-06-05 01:01:18,630] INFO: [worker stdout] [2026-06-05 01:01:18,630] INFO: 聚合中 | service=auth-svc | window=2026-06-04T17:00:00Z | count=2927 | p50_ms=163 | p99_ms=467 | err_rate=0.033
$CL|REC|t=1780621301450|msg=[2026-06-05 01:01:18,750] INFO: [worker stdout] [2026-06-05 01:01:18,750] INFO: 写入指标 | service=auth-svc | window=2026-06-04T17:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T17:00:00Z.json | engine=duckdb
$CL|REC|t=1780621301600|msg=[2026-06-05 01:01:18,900] INFO: [worker stdout] [2026-06-05 01:01:18,900] INFO: [进度] 43/112 | shard=shard-1 | service=billing-svc | window=2026-06-04T18:00:00Z/PT60S
$CL|REC|t=1780621301680|msg=[2026-06-05 01:01:18,980] INFO: [worker stdout] [2026-06-05 01:01:18,980] INFO: 聚合中 | service=billing-svc | window=2026-06-04T18:00:00Z | count=2974 | p50_ms=166 | p99_ms=474 | err_rate=0.046
$CL|REC|t=1780621301800|msg=[2026-06-05 01:01:19,100] INFO: [worker stdout] [2026-06-05 01:01:19,100] INFO: 写入指标 | service=billing-svc | window=2026-06-04T18:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T18:00:00Z.json | engine=duckdb
$CL|REC|t=1780621301850|msg=[2026-06-05 01:01:19,150] INFO: [worker stdout] [2026-06-05 01:01:19,150] INFO: WARN | service=billing-svc | reason=missing_data | detail=log file truncated, using partial window
$CL|REC|t=1780621301950|msg=[2026-06-05 01:01:19,250] INFO: [worker stdout] [2026-06-05 01:01:19,250] INFO: [进度] 44/112 | shard=shard-1 | service=notif-svc | window=2026-06-04T19:00:00Z/PT60S
$CL|REC|t=1780621302030|msg=[2026-06-05 01:01:19,330] INFO: [worker stdout] [2026-06-05 01:01:19,330] INFO: 聚合中 | service=notif-svc | window=2026-06-04T19:00:00Z | count=3021 | p50_ms=169 | p99_ms=481 | err_rate=0.059
$CL|REC|t=1780621302150|msg=[2026-06-05 01:01:19,450] INFO: [worker stdout] [2026-06-05 01:01:19,450] INFO: 写入指标 | service=notif-svc | window=2026-06-04T19:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T19:00:00Z.json | engine=duckdb
$CL|REC|t=1780621302300|msg=[2026-06-05 01:01:19,600] INFO: [worker stdout] [2026-06-05 01:01:19,600] INFO: [进度] 45/112 | shard=shard-1 | service=ingest-svc | window=2026-06-04T20:00:00Z/PT60S
$CL|REC|t=1780621302380|msg=[2026-06-05 01:01:19,680] INFO: [worker stdout] [2026-06-05 01:01:19,680] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T20:00:00Z | count=3068 | p50_ms=172 | p99_ms=488 | err_rate=0.072
$CL|REC|t=1780621302500|msg=[2026-06-05 01:01:19,800] INFO: [worker stdout] [2026-06-05 01:01:19,800] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T20:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T20:00:00Z.json | engine=duckdb
$CL|REC|t=1780621302650|msg=[2026-06-05 01:01:19,950] INFO: [worker stdout] [2026-06-05 01:01:19,950] INFO: [进度] 46/112 | shard=shard-1 | service=report-svc | window=2026-06-04T21:00:00Z/PT60S
$CL|REC|t=1780621302730|msg=[2026-06-05 01:01:20,030] INFO: [worker stdout] [2026-06-05 01:01:20,030] INFO: 聚合中 | service=report-svc | window=2026-06-04T21:00:00Z | count=3115 | p50_ms=175 | p99_ms=495 | err_rate=0.085
$CL|REC|t=1780621302850|msg=[2026-06-05 01:01:20,150] INFO: [worker stdout] [2026-06-05 01:01:20,150] INFO: 写入指标 | service=report-svc | window=2026-06-04T21:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T21:00:00Z.json | engine=duckdb
$CL|REC|t=1780621303000|msg=[2026-06-05 01:01:20,300] INFO: [worker stdout] [2026-06-05 01:01:20,300] INFO: [进度] 47/112 | shard=shard-1 | service=search-svc | window=2026-06-04T22:00:00Z/PT60S
$CL|REC|t=1780621303080|msg=[2026-06-05 01:01:20,380] INFO: [worker stdout] [2026-06-05 01:01:20,380] INFO: 聚合中 | service=search-svc | window=2026-06-04T22:00:00Z | count=3162 | p50_ms=178 | p99_ms=2 | err_rate=0.098
$CL|REC|t=1780621303200|msg=[2026-06-05 01:01:20,500] INFO: [worker stdout] [2026-06-05 01:01:20,500] INFO: 写入指标 | service=search-svc | window=2026-06-04T22:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T22:00:00Z.json | engine=duckdb
$CL|REC|t=1780621303350|msg=[2026-06-05 01:01:20,650] INFO: [worker stdout] [2026-06-05 01:01:20,650] INFO: [进度] 48/112 | shard=shard-1 | service=media-svc | window=2026-06-04T23:00:00Z/PT60S
$CL|REC|t=1780621303430|msg=[2026-06-05 01:01:20,730] INFO: [worker stdout] [2026-06-05 01:01:20,730] INFO: 聚合中 | service=media-svc | window=2026-06-04T23:00:00Z | count=3209 | p50_ms=181 | p99_ms=9 | err_rate=0.011
$CL|REC|t=1780621303550|msg=[2026-06-05 01:01:20,850] INFO: [worker stdout] [2026-06-05 01:01:20,850] INFO: 写入指标 | service=media-svc | window=2026-06-04T23:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T23:00:00Z.json | engine=duckdb
$CL|REC|t=1780621303700|msg=[2026-06-05 01:01:21,000] INFO: [worker stdout] [2026-06-05 01:01:21,000] INFO: [进度] 49/112 | shard=shard-1 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
$CL|REC|t=1780621303780|msg=[2026-06-05 01:01:21,080] INFO: [worker stdout] [2026-06-05 01:01:21,080] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=3256 | p50_ms=184 | p99_ms=16 | err_rate=0.024
$CL|REC|t=1780621303900|msg=[2026-06-05 01:01:21,200] INFO: [worker stdout] [2026-06-05 01:01:21,200] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
$CL|REC|t=1780621304050|msg=[2026-06-05 01:01:21,350] INFO: [worker stdout] [2026-06-05 01:01:21,350] INFO: [进度] 50/112 | shard=shard-1 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
$CL|REC|t=1780621304130|msg=[2026-06-05 01:01:21,430] INFO: [worker stdout] [2026-06-05 01:01:21,430] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=3303 | p50_ms=187 | p99_ms=23 | err_rate=0.037
$CL|REC|t=1780621304250|msg=[2026-06-05 01:01:21,550] INFO: [worker stdout] [2026-06-05 01:01:21,550] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
$CL|REC|t=1780621304400|msg=[2026-06-05 01:01:21,700] INFO: [worker stdout] [2026-06-05 01:01:21,700] INFO: [进度] 51/112 | shard=shard-1 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
$CL|REC|t=1780621304480|msg=[2026-06-05 01:01:21,780] INFO: [worker stdout] [2026-06-05 01:01:21,780] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=3350 | p50_ms=190 | p99_ms=30 | err_rate=0.050
$CL|REC|t=1780621304600|msg=[2026-06-05 01:01:21,900] INFO: [worker stdout] [2026-06-05 01:01:21,900] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
$CL|REC|t=1780621304750|msg=[2026-06-05 01:01:22,050] INFO: [worker stdout] [2026-06-05 01:01:22,050] INFO: [进度] 52/112 | shard=shard-1 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
$CL|REC|t=1780621304830|msg=[2026-06-05 01:01:22,130] INFO: [worker stdout] [2026-06-05 01:01:22,130] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=3397 | p50_ms=193 | p99_ms=37 | err_rate=0.063
$CL|REC|t=1780621304950|msg=[2026-06-05 01:01:22,250] INFO: [worker stdout] [2026-06-05 01:01:22,250] INFO: 写入指标 | service=notif-svc | window=2026-06-04T03:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T03:00:00Z.json | engine=duckdb
$CL|REC|t=1780621305100|msg=[2026-06-05 01:01:22,400] INFO: [worker stdout] [2026-06-05 01:01:22,400] INFO: [进度] 53/112 | shard=shard-1 | service=ingest-svc | window=2026-06-04T04:00:00Z/PT60S
$CL|REC|t=1780621305180|msg=[2026-06-05 01:01:22,480] INFO: [worker stdout] [2026-06-05 01:01:22,480] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T04:00:00Z | count=3444 | p50_ms=196 | p99_ms=44 | err_rate=0.076
$CL|REC|t=1780621305300|msg=[2026-06-05 01:01:22,600] INFO: [worker stdout] [2026-06-05 01:01:22,600] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T04:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json | engine=duckdb
$CL|REC|t=1780621305450|msg=[2026-06-05 01:01:22,750] INFO: [worker stdout] [2026-06-05 01:01:22,750] INFO: [进度] 54/112 | shard=shard-1 | service=report-svc | window=2026-06-04T05:00:00Z/PT60S
$CL|REC|t=1780621305530|msg=[2026-06-05 01:01:22,830] INFO: [worker stdout] [2026-06-05 01:01:22,830] INFO: 聚合中 | service=report-svc | window=2026-06-04T05:00:00Z | count=3491 | p50_ms=199 | p99_ms=51 | err_rate=0.089
$CL|REC|t=1780621305650|msg=[2026-06-05 01:01:22,950] INFO: [worker stdout] [2026-06-05 01:01:22,950] INFO: 写入指标 | service=report-svc | window=2026-06-04T05:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T05:00:00Z.json | engine=duckdb
$CL|REC|t=1780621305800|msg=[2026-06-05 01:01:23,100] INFO: [worker stdout] [2026-06-05 01:01:23,100] INFO: [进度] 55/112 | shard=shard-1 | service=search-svc | window=2026-06-04T06:00:00Z/PT60S
$CL|REC|t=1780621305880|msg=[2026-06-05 01:01:23,180] INFO: [worker stdout] [2026-06-05 01:01:23,180] INFO: 聚合中 | service=search-svc | window=2026-06-04T06:00:00Z | count=3538 | p50_ms=2 | p99_ms=58 | err_rate=0.002
$CL|REC|t=1780621306000|msg=[2026-06-05 01:01:23,300] INFO: [worker stdout] [2026-06-05 01:01:23,300] INFO: 写入指标 | service=search-svc | window=2026-06-04T06:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T06:00:00Z.json | engine=duckdb
$CL|REC|t=1780621306150|msg=[2026-06-05 01:01:23,450] INFO: [worker stdout] [2026-06-05 01:01:23,450] INFO: [进度] 56/112 | shard=shard-1 | service=media-svc | window=2026-06-04T07:00:00Z/PT60S
$CL|REC|t=1780621306230|msg=[2026-06-05 01:01:23,530] INFO: [worker stdout] [2026-06-05 01:01:23,530] INFO: 聚合中 | service=media-svc | window=2026-06-04T07:00:00Z | count=3585 | p50_ms=5 | p99_ms=65 | err_rate=0.015
$CL|REC|t=1780621306350|msg=[2026-06-05 01:01:23,650] INFO: [worker stdout] [2026-06-05 01:01:23,650] INFO: 写入指标 | service=media-svc | window=2026-06-04T07:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T07:00:00Z.json | engine=duckdb
$CL|REC|t=1780621326700|msg=[2026-06-05 01:01:22,000] INFO: [worker stdout] [2026-06-05 01:01:22,000] INFO: [进度] 57/112 | shard=shard-2 | service=api-gateway | window=2026-06-04T08:00:00Z/PT60S
$CL|REC|t=1780621326780|msg=[2026-06-05 01:01:22,080] INFO: [worker stdout] [2026-06-05 01:01:22,080] INFO: 聚合中 | service=api-gateway | window=2026-06-04T08:00:00Z | count=3632 | p50_ms=8 | p99_ms=72 | err_rate=0.028
$CL|REC|t=1780621326900|msg=[2026-06-05 01:01:22,200] INFO: [worker stdout] [2026-06-05 01:01:22,200] INFO: 写入指标 | service=api-gateway | window=2026-06-04T08:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T08:00:00Z.json | engine=duckdb
$CL|REC|t=1780621327050|msg=[2026-06-05 01:01:22,350] INFO: [worker stdout] [2026-06-05 01:01:22,350] INFO: [进度] 58/112 | shard=shard-2 | service=auth-svc | window=2026-06-04T09:00:00Z/PT60S
$CL|REC|t=1780621327130|msg=[2026-06-05 01:01:22,430] INFO: [worker stdout] [2026-06-05 01:01:22,430] INFO: 聚合中 | service=auth-svc | window=2026-06-04T09:00:00Z | count=3679 | p50_ms=11 | p99_ms=79 | err_rate=0.041
$CL|REC|t=1780621327250|msg=[2026-06-05 01:01:22,550] INFO: [worker stdout] [2026-06-05 01:01:22,550] INFO: 写入指标 | service=auth-svc | window=2026-06-04T09:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T09:00:00Z.json | engine=duckdb
$CL|REC|t=1780621327400|msg=[2026-06-05 01:01:22,700] INFO: [worker stdout] [2026-06-05 01:01:22,700] INFO: [进度] 59/112 | shard=shard-2 | service=billing-svc | window=2026-06-04T10:00:00Z/PT60S
$CL|REC|t=1780621327480|msg=[2026-06-05 01:01:22,780] INFO: [worker stdout] [2026-06-05 01:01:22,780] INFO: 聚合中 | service=billing-svc | window=2026-06-04T10:00:00Z | count=3726 | p50_ms=14 | p99_ms=86 | err_rate=0.054
$CL|REC|t=1780621327600|msg=[2026-06-05 01:01:22,900] INFO: [worker stdout] [2026-06-05 01:01:22,900] INFO: 写入指标 | service=billing-svc | window=2026-06-04T10:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T10:00:00Z.json | engine=duckdb
$CL|REC|t=1780621327750|msg=[2026-06-05 01:01:23,050] INFO: [worker stdout] [2026-06-05 01:01:23,050] INFO: [进度] 60/112 | shard=shard-2 | service=notif-svc | window=2026-06-04T11:00:00Z/PT60S
$CL|REC|t=1780621327830|msg=[2026-06-05 01:01:23,130] INFO: [worker stdout] [2026-06-05 01:01:23,130] INFO: 聚合中 | service=notif-svc | window=2026-06-04T11:00:00Z | count=3773 | p50_ms=17 | p99_ms=93 | err_rate=0.067
$CL|REC|t=1780621327950|msg=[2026-06-05 01:01:23,250] INFO: [worker stdout] [2026-06-05 01:01:23,250] INFO: 写入指标 | service=notif-svc | window=2026-06-04T11:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T11:00:00Z.json | engine=duckdb
$CL|REC|t=1780621328100|msg=[2026-06-05 01:01:23,400] INFO: [worker stdout] [2026-06-05 01:01:23,400] INFO: [进度] 61/112 | shard=shard-2 | service=ingest-svc | window=2026-06-04T12:00:00Z/PT60S
$CL|REC|t=1780621328180|msg=[2026-06-05 01:01:23,480] INFO: [worker stdout] [2026-06-05 01:01:23,480] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T12:00:00Z | count=3820 | p50_ms=20 | p99_ms=100 | err_rate=0.080
$CL|REC|t=1780621328300|msg=[2026-06-05 01:01:23,600] INFO: [worker stdout] [2026-06-05 01:01:23,600] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T12:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T12:00:00Z.json | engine=duckdb
$CL|REC|t=1780621328450|msg=[2026-06-05 01:01:23,750] INFO: [worker stdout] [2026-06-05 01:01:23,750] INFO: [进度] 62/112 | shard=shard-2 | service=report-svc | window=2026-06-04T13:00:00Z/PT60S
$CL|REC|t=1780621328530|msg=[2026-06-05 01:01:23,830] INFO: [worker stdout] [2026-06-05 01:01:23,830] INFO: 聚合中 | service=report-svc | window=2026-06-04T13:00:00Z | count=3867 | p50_ms=23 | p99_ms=107 | err_rate=0.093
$CL|REC|t=1780621328650|msg=[2026-06-05 01:01:23,950] INFO: [worker stdout] [2026-06-05 01:01:23,950] INFO: 写入指标 | service=report-svc | window=2026-06-04T13:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T13:00:00Z.json | engine=duckdb
$CL|REC|t=1780621328800|msg=[2026-06-05 01:01:24,100] INFO: [worker stdout] [2026-06-05 01:01:24,100] INFO: [进度] 63/112 | shard=shard-2 | service=search-svc | window=2026-06-04T14:00:00Z/PT60S
$CL|REC|t=1780621328880|msg=[2026-06-05 01:01:24,180] INFO: [worker stdout] [2026-06-05 01:01:24,180] INFO: 聚合中 | service=search-svc | window=2026-06-04T14:00:00Z | count=3914 | p50_ms=26 | p99_ms=114 | err_rate=0.006
$CL|REC|t=1780621329000|msg=[2026-06-05 01:01:24,300] INFO: [worker stdout] [2026-06-05 01:01:24,300] INFO: 写入指标 | service=search-svc | window=2026-06-04T14:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T14:00:00Z.json | engine=duckdb
$CL|REC|t=1780621329150|msg=[2026-06-05 01:01:24,450] INFO: [worker stdout] [2026-06-05 01:01:24,450] INFO: [进度] 64/112 | shard=shard-2 | service=media-svc | window=2026-06-04T15:00:00Z/PT60S
$CL|REC|t=1780621329230|msg=[2026-06-05 01:01:24,530] INFO: [worker stdout] [2026-06-05 01:01:24,530] INFO: 聚合中 | service=media-svc | window=2026-06-04T15:00:00Z | count=3961 | p50_ms=29 | p99_ms=121 | err_rate=0.019
$CL|REC|t=1780621329350|msg=[2026-06-05 01:01:24,650] INFO: [worker stdout] [2026-06-05 01:01:24,650] INFO: 写入指标 | service=media-svc | window=2026-06-04T15:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T15:00:00Z.json | engine=duckdb
$CL|REC|t=1780621329500|msg=[2026-06-05 01:01:24,800] INFO: [worker stdout] [2026-06-05 01:01:24,800] INFO: [进度] 65/112 | shard=shard-2 | service=api-gateway | window=2026-06-04T16:00:00Z/PT60S
$CL|REC|t=1780621329580|msg=[2026-06-05 01:01:24,880] INFO: [worker stdout] [2026-06-05 01:01:24,880] INFO: 聚合中 | service=api-gateway | window=2026-06-04T16:00:00Z | count=4008 | p50_ms=32 | p99_ms=128 | err_rate=0.032
$CL|REC|t=1780621329700|msg=[2026-06-05 01:01:25,000] INFO: [worker stdout] [2026-06-05 01:01:25,000] INFO: 写入指标 | service=api-gateway | window=2026-06-04T16:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T16:00:00Z.json | engine=duckdb
$CL|REC|t=1780621329850|msg=[2026-06-05 01:01:25,150] INFO: [worker stdout] [2026-06-05 01:01:25,150] INFO: [进度] 66/112 | shard=shard-2 | service=auth-svc | window=2026-06-04T17:00:00Z/PT60S
$CL|REC|t=1780621329930|msg=[2026-06-05 01:01:25,230] INFO: [worker stdout] [2026-06-05 01:01:25,230] INFO: 聚合中 | service=auth-svc | window=2026-06-04T17:00:00Z | count=4055 | p50_ms=35 | p99_ms=135 | err_rate=0.045
$CL|REC|t=1780621330050|msg=[2026-06-05 01:01:25,350] INFO: [worker stdout] [2026-06-05 01:01:25,350] INFO: 写入指标 | service=auth-svc | window=2026-06-04T17:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T17:00:00Z.json | engine=duckdb
$CL|REC|t=1780621330200|msg=[2026-06-05 01:01:25,500] INFO: [worker stdout] [2026-06-05 01:01:25,500] INFO: [进度] 67/112 | shard=shard-2 | service=billing-svc | window=2026-06-04T18:00:00Z/PT60S
$CL|REC|t=1780621330280|msg=[2026-06-05 01:01:25,580] INFO: [worker stdout] [2026-06-05 01:01:25,580] INFO: 聚合中 | service=billing-svc | window=2026-06-04T18:00:00Z | count=4102 | p50_ms=38 | p99_ms=142 | err_rate=0.058
$CL|REC|t=1780621330400|msg=[2026-06-05 01:01:25,700] INFO: [worker stdout] [2026-06-05 01:01:25,700] INFO: 写入指标 | service=billing-svc | window=2026-06-04T18:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T18:00:00Z.json | engine=duckdb
$CL|REC|t=1780621330550|msg=[2026-06-05 01:01:25,850] INFO: [worker stdout] [2026-06-05 01:01:25,850] INFO: [进度] 68/112 | shard=shard-2 | service=notif-svc | window=2026-06-04T19:00:00Z/PT60S
$CL|REC|t=1780621330630|msg=[2026-06-05 01:01:25,930] INFO: [worker stdout] [2026-06-05 01:01:25,930] INFO: 聚合中 | service=notif-svc | window=2026-06-04T19:00:00Z | count=4149 | p50_ms=41 | p99_ms=149 | err_rate=0.071
